time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0045707087398393,0.0062986115590168,0.0020398132120453,0.003933652736871,0.0009280229659383,0.0039051256023419,0.0477708210351192,0.0044745459364566,0.0012313330838128,0.0046609907220749,0.0069795958770777,0.005618504976737,0.029723573758106,0.0037314640675502,0.0038495685231768,0.0036445972977342,0.0005790269105363,0.009314751677774,3.133959326608535e-05,0.0027157080709581,0.0001423309866558,0.0011813806686565,0.0003302498845554,0.0038484866605466,0.0043687209558592,0.0093264026772048,0.0074106480672331,0.0039183311227522,0.008647290549186,0.0006262601737611,0.0020204408566662,0.0288633334904014
1,0.004600473013628,0.0063396278673405,0.0020530963946712,0.0039592685272689,0.0009340662146362,0.0039305556251728,0.0480819027244875,0.0045036840018887,0.0012393514759523,0.0046913429085464,0.0070250467282354,0.0056550924580073,0.0299171324899506,0.0037557632133635,0.0038746367605146,0.0036683307705923,0.0005827975107817,0.0093754089707654,3.154367545278593e-05,0.0027333926540622,0.0001432578403882,0.0011890737726524,0.0003324004586878,0.0038735478528379,0.0043971698932205,0.0093871358410418,0.007458905913134,0.0039438471394075,0.0087036013618162,0.0006303383551407,0.0020335978872833,0.029051290371787
2,0.0048763241834478,0.0067197613358441,0.0021762030927314,0.0041966721272123,0.0009900742071259,0.0041662375570163,0.0509649647649383,0.0047737315593332,0.0013136648244812,0.0049726427717375,0.0074462789259424,0.0059941801703706,0.0317110080263484,0.0039809643335316,0.0041069657144827,0.0038882893121066,0.00061774291197,0.0099375723666734,3.3435080912243994e-05,0.0028972909225589,0.0001518477924953,0.0012603723956889,0.0003523316820872,0.0041058115142903,0.0046608307070864,0.0099500023974454,0.0079061529496057,0.0041803260501136,0.0092254821793299,0.0006681343757092,0.002155535425986,0.0307932487334797
3,0.003993227042038,0.0055028196799176,0.0017820950191047,0.0034366592528519,0.0008107728175538,0.0034117363510621,0.0417352636616489,0.003909213833417,0.0010757615170662,0.0040721024360726,0.0060977657044547,0.0049086404944981,0.0259681780819517,0.0032600159119871,0.0033631985763915,0.0031841242387198,0.0005058703253322,0.0081378885434874,2.738002319548461e-05,0.0023725946072013,0.0001243483182115,0.0010321202906458,0.0002885247878828,0.0033622534006307,0.0038167592058531,0.0081480675088606,0.0064743570298339,0.0034232734329913,0.0075547571343571,0.000547135948396,0.001765170244902,0.0252166240243268
4,0.004170119011974,0.005746583583932,0.0018610382635593,0.0035888963830817,0.0008466884315066,0.0035628694465981,0.0435840523549004,0.0040823841862705,0.0011234156003256,0.0042524884281824,0.0063678845272298,0.0051260834491907,0.0271185164244017,0.0034044280955728,0.0035121815456044,0.003325174572993,0.0005282793688046,0.0084983807269827,2.859290345221801e-05,0.002477695802177,0.0001298566999627,0.0010778411548744,0.0003013058588229,0.003511194500448,0.0039858340036512,0.00850901060016,0.0067611580949924,0.0035749175981781,0.0078894177629204,0.0005713729764227,0.0018433637557157,0.026333670025428
5,0.0093939971788158,0.0129452876093654,0.0041923475438819,0.0080846811328228,0.0019073289548981,0.0080260504397424,0.0981814820362845,0.0091963575664269,0.0025307102626554,0.0095795501717306,0.014344887786669,0.0115474914077518,0.0610896873813461,0.0076691307450607,0.0079118661688455,0.0074905969033674,0.0011900511438468,0.0191442412901275,6.44110284605859e-05,0.0055814875567776,0.0002925272563199,0.0024280450363716,0.0006787495463836,0.0079096426593036,0.0089788596627615,0.0191681871291676,0.0152308123311379,0.0080531912243645,0.0177724347901261,0.0012871278045433,0.0041525323068725,0.0593216695294352
6,0.0399253938685782,0.0550187206476349,0.0178178813275472,0.0343606744163938,0.0081063319811269,0.0341114883170726,0.4172807662471014,0.0390854064576329,0.0107557626514538,0.0407140119812516,0.0609671563639443,0.0490779520019642,0.2596370622197694,0.0325945451970818,0.0336261941550267,0.0318357591539532,0.0050578321174061,0.0813648715529831,0.0002737530820818,0.0237218603364542,0.001243269047622,0.0103194255397896,0.0028847510236214,0.0336167440250619,0.038161019393837,0.0814666436779893,0.0647324211072132,0.0342268392688893,0.0755345616453392,0.0054704172864218,0.0176486627308928,0.2521228158600405
7,0.1055134293022603,0.1454015434503657,0.0470884712611394,0.0908071840880566,0.0214231295803054,0.0901486438126527,1.1027749600551262,0.1032935400610594,0.0284249519454141,0.1075975615653495,0.1611218605367252,0.1297014886291311,0.6861597132629053,0.0861397197886702,0.0888661254378464,0.0841344266716948,0.0133666611605461,0.2150282261598363,0.0007234650349999,0.0626912997218652,0.0032856677930783,0.0272718155446792,0.0076237187336819,0.0888411509661298,0.1008506023802238,0.2152971859590089,0.1710725700175368,0.0904534892586241,0.1996200878137143,0.0144570267610808,0.0466412662944585,0.6663013267771803
8,0.1348477162299925,0.1858253134246089,0.0601797596032666,0.1160529183112109,0.0273790750381904,0.1152112941428854,1.4093626362295606,0.1320106650940471,0.0363275071157626,0.1375112679490229,0.2059161101272187,0.1657604121951707,0.8769222165784271,0.1100878302127636,0.1135722167760585,0.1075250360832957,0.0170827897741465,0.2748092391118891,0.0009245989670426,0.0801204041124118,0.004199131817788,0.0348537818168215,0.0097432247934224,0.1135402990334801,0.1288885547680791,0.2751529736954007,0.2186332633581283,0.115600891111387,0.2551174114358284,0.0184762930661934,0.059608225071194,0.8515429062544171
9,0.1048406717473035,0.1444744577940139,0.0467882334146228,0.0902281941003027,0.0212865349082217,0.0895738527022213,1.0957436258382378,0.1026349366025817,0.0282437133931557,0.1069115155054622,0.1600945415531458,0.1288745071070499,0.6817847333759166,0.0855904897271235,0.0882995117123387,0.0835979824337467,0.0132814348311606,0.2136571981813638,0.0007188521949922,0.0622915776599737,0.0032647182528587,0.0270979294330591,0.0075751096190993,0.0882746964787839,0.1002075751833835,0.2139244430828397,0.1699818049397052,0.0898767544422756,0.198347302699195,0.014364848220017,0.046343879843465,0.6620529647020273
10,0.0734049753267296,0.1011548651202247,0.0327591292781848,0.0631739405263629,0.01490392558239,0.0627157985345108,0.7671930413889765,0.0718606134757692,0.0197750457928856,0.0748548919710978,0.1120913828268657,0.0902324437336577,0.4773566469721451,0.0599268173497162,0.0618235592216453,0.0585317485632324,0.0092990952827425,0.1495936748543827,0.000503309705647,0.0436139109468367,0.0022858167427374,0.0189728166396485,0.0053037692855259,0.0618061846514861,0.0701610783419733,0.1497807883578742,0.1190140237527899,0.0629278774384757,0.1388743377746648,0.0100576552170907,0.0324480118236363,0.4635413025211798
