year,price_import
2025,1.053194565842302
2026,1.053194565842302
2027,1.053194565842302
2028,1.053194565842302
2029,1.053194565842302
2030,1.1489793127288543
2031,1.1489793127288543
2032,1.1489793127288543
2033,1.1489793127288543
2034,1.1489793127288543
2035,1.1859457535080076
2036,1.1859457535080076
2037,1.1859457535080076
2038,1.1859457535080076
2039,1.1859457535080076
2040,1.2203065719594404
2041,1.2203065719594404
2042,1.2203065719594404
2043,1.2203065719594404
2044,1.2203065719594404
2045,1.257322932037544
2046,1.257322932037544
2047,1.257322932037544
2048,1.257322932037544
2049,1.257322932037544
2050,1.2792966467261488
