node,total_energy_demand
AT,0.0789546529701182
BE,0.12092179115213995
BG,0.011461289057418143
CH,0.0648886506831037
CY,0.00433533496199618
CZ,0.06337762294325809
DE,0.3241891796367864
DK,0.06718003780957907
EE,0.005596046977599336
EL,0.022212597826227188
ES,0.18462607856666752
FI,0.05759337451409478
FR,0.4670717840539375
HR,0.017045555517212593
HU,0.05424863409308601
IE,0.0521293434473825
IS,0.014106129069752754
IT,0.2347798390857564
LI,0.0004905949552658348
LT,0.009827279112743557
LU,0.015180024849024082
LV,0.005937686935251027
MT,0.003254607451127116
NL,0.19001158242763608
NO,0.10354005960732168
PL,0.1624111335029851
PT,0.08059241464063331
RO,0.05180386429054944
SE,0.25890822287796766
SI,0.015758103703922232
SK,0.033046604875556565
UK,0.5130556579476883
