node,total_energy_demand
AT,0.023068341317962458
BE,0.03938925777064465
BG,0.001393272838176574
CH,0.019266429075449044
CY,0.0005421724275035004
CZ,0.002417637142806851
DE,0.38654464461827814
DK,0.021979502536751884
EE,0.0008900738827271435
EL,0.003455526007695338
ES,0.03202075993324109
FI,0.028848126631574295
FR,0.14024953159357031
HR,0.002524833831874572
HU,0.0021270575470581634
IE,0.015945166732167046
IS,0.013037425959878671
IT,0.04223503758273067
LI,0.00014958943226760143
LT,0.001418312935307177
LU,0.007884595590538439
LV,0.0007699183663463099
MT,0.0013763096064666595
NL,0.08338803480775624
NO,0.08736029921946457
PL,0.006144662346230415
PT,0.03786828939171552
RO,0.001937956323251919
SE,0.22167128469911468
SI,0.0027964176583632375
SK,0.0012485320935611015
UK,0.14468003848666192
