time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.1270186945838763,0.1790936240250561,0.0186983087805064,0.1095487341294284,0.0072255107326029,0.0495691590974817,1.1769230953086574,0.1247064369672616,0.0101769398534441,0.0367064828544774,0.3121487913329279,0.0671462328307761,0.8307008610432354,0.0296049487691607,0.0476884161842984,0.1000540894817819,0.0153337541277958,0.418502359572965,0.0008693812719627,0.0266350103205423,0.0200539718000202,0.0109363370017026,0.0040536267642576,0.2535673064569231,0.1410826736354776,0.1963594775769262,0.0879480432915226,0.049847269724757,0.2563495001050544,0.0280382235184906,0.0255146601721229,0.7946666622619329
1,0.1682780081241066,0.2372683676005101,0.0247720555401814,0.1451333036621968,0.0095725637690196,0.0656706430863447,1.559221458247764,0.1652146629427659,0.013482701683771,0.0486298008354529,0.4135436678509241,0.088957254290935,1.1005363163374902,0.0392214848830841,0.0631789809553422,0.1325545262280049,0.020314597076782,0.5544439241396273,0.0011517812336646,0.0352868252802438,0.0265680767743679,0.0144887727971823,0.0053703609520045,0.3359332371959554,0.1869103707763603,0.2601426653862791,0.1165160891630577,0.0660390920186011,0.3396191671045951,0.0371458423540514,0.0338025532839426,1.0527971767161055
2,0.1089344871329386,0.1535952809613061,0.0160361487254362,0.0939518014064583,0.0061967831468295,0.0425117809751184,1.0093594033726891,0.1069514357529008,0.0087280043866742,0.0314804202429118,0.2677068017776306,0.0575863297941497,0.7124303438568196,0.0253899626455051,0.040898807661641,0.0858089508710367,0.0131506204437567,0.3589183470461575,0.0007456036553871,0.0228428673318858,0.0171988000677416,0.0093792828393993,0.0034764941809503,0.2174658192879266,0.1209961159353264,0.1684029193782116,0.0754264954595404,0.0427502957752249,0.2198518998499778,0.0240462989256164,0.0218820263373596,0.6815264916613033
3,0.0411724704328312,0.0580522966641811,0.0060609626632635,0.0355096706959112,0.0023421129305005,0.0160675933885754,0.3814936966724499,0.0404229637663909,0.0032988038224242,0.0118982216355657,0.1011814593426815,0.0217651133556214,0.2692675023300988,0.0095962951111802,0.0154579600409923,0.0324320294297484,0.0049703592098727,0.135655433100123,0.0002818055628111,0.0086336045138342,0.006500394006584,0.0035449585852005,0.0013139627095358,0.0821925659213597,0.0457312384438474,0.0636489361761117,0.0285079154994341,0.0161577415483881,0.0830943999867417,0.009088449008125,0.0082704486531057,0.2575871981925512
4,0.0228606547600581,0.0322330309091696,0.0033652966047911,0.0197164346440399,0.0013004377573259,0.0089213909541924,0.211821044525249,0.0224444977269307,0.0018316320228738,0.006606383688175,0.0561801219561371,0.0120848891748704,0.149508429884329,0.0053282590820052,0.0085828973602253,0.0180076011997161,0.0027597485585846,0.0753214949170305,0.0001564700785054,0.0047937335324008,0.003609287021805,0.0019683073059019,0.000729566323189,0.0456367046625704,0.0253918708987899,0.0353405161378608,0.0158287711985773,0.0089714449329085,0.0461374401540972,0.0050462819669296,0.0045920944111887,0.1430230429844448
5,0.0659194344741972,0.0929449830384638,0.0097039411755328,0.0568529744761901,0.0037498541678517,0.0257251182258827,0.6107928058663634,0.0647194322623556,0.0052815699453906,0.0190497201945824,0.1619971915463443,0.034847167259735,0.4311123741004808,0.0153642067169251,0.0247490610428471,0.0519254981880991,0.0079578238761005,0.217191957133127,0.0004511865121743,0.0138228850744891,0.0104074954033313,0.0056756775271015,0.0021037279964555,0.1315949081160501,0.0732182777553043,0.1019055168054205,0.0456427716871318,0.0258694504860379,0.1330387950374466,0.0145511166214949,0.0132414521725148,0.4124115520429395
6,0.0368080113766309,0.0518985033832423,0.0054184745369285,0.031745492782315,0.0020938388803232,0.0143643593407056,0.3410537230244832,0.0361379556424189,0.0029491164204769,0.0106369589368714,0.0904557892066582,0.0194579176713319,0.2407239882603698,0.0085790465306684,0.0138193497515915,0.028994094735338,0.0044434797431307,0.1212753733832185,0.0002519329603714,0.0077184052796875,0.0058113242667153,0.0031691777190445,0.0011746770075398,0.0734798002088179,0.0408835303593126,0.0569018750211457,0.0254859537694991,0.0144449514076155,0.0742860359821259,0.0081250343001094,0.0073937455030779,0.2302818466288943
7,0.13601601653896,0.1917796542250601,0.0200227965235504,0.117308577937959,0.0077373270960455,0.0530803720327422,1.2602900047195642,0.1335399710146839,0.0108978196001533,0.0393065729054927,0.3342597347866729,0.0719025112418297,0.8895432473522503,0.0317020042964005,0.0510664073953073,0.1071413836705588,0.0164199148942865,0.4481468184486915,0.0009309635707825,0.0285216913631715,0.02147448742848,0.0117110083627646,0.0043407639073628,0.2715286522332315,0.1510762123121341,0.2102685280870068,0.0941778102042265,0.0533781825227891,0.2745079215329086,0.0300243006457269,0.0273219816289778,0.850956579512035
8,0.2984544361046904,0.4208143277133682,0.043935211438599,0.2574054612802762,0.0169777034658735,0.1164721104644431,2.765403312478387,0.2930213496967696,0.0239126441598353,0.0862488209126201,0.7334525976923058,0.1577727681875217,1.951888718952488,0.0695624240176195,0.1120529494310934,0.2350959986959594,0.0360295542051666,0.9833504126619084,0.0020427756570295,0.0625839921588138,0.0471205979941961,0.025696991325467,0.0095247624301987,0.5958043240100562,0.3315004137144042,0.4613837147832907,0.2066505544957337,0.1171255839606879,0.602341613966526,0.0658811068481145,0.0599515176802989,1.867219556566661
9,0.6330705028970735,0.8926157759583361,0.0931937442892177,0.5459989368829378,0.0360124761804773,0.247056329627964,5.865871148016124,0.6215460411084097,0.0507226156911788,0.1829478065130154,1.5557725022701905,0.3346617560909763,4.140274103591908,0.1475532390482762,0.2376825688144891,0.4986769306097164,0.0764245567850139,2.085846497686336,0.0043330601125592,0.1327508476884862,0.0999504683473115,0.0545075068532362,0.0202035735181565,1.2637980790373966,0.7031664074416739,0.9786700581790662,0.4383395072495531,0.2484424534205836,1.277664736522342,0.1397445653282961,0.1271669402628562,3.960677010276576
